Video,Views,Yesterday,Published
Chris Brown - Take You Down (Official HD Video),"54,719,342","2,424",2009/10
Chris Brown - Wall to Wall (Remix) ft. Jadakiss (Official HD Video) ft. Jadakiss,"53,175,139","9,216",2009/10
Chris Brown - Privacy (Audio),"52,781,418","2,496",2017/03
"Chris Brown - New Flame (Official Video - Clean) ft. Usher, Rick Ross","51,686,117","5,592",2014/08
Chris Brown - It Depends (Audio) ft. Bryson Tiller,"50,736,762","75,984",2025/07
Chris Brown - To My Bed (Official Video),"48,532,956","4,224",2018/06
Chris Brown - Picture Me Rollin' (Explicit Version),"47,510,120","2,040",2015/12
Chris Brown - Liquor (Official Video - Clean),"47,223,281","6,168",2015/09
Kid Ink ft. Chris Brown - Main Chick (Official Lyric Video),"46,811,217","19,296",2014/03
Chris Brown - No Bullshit (Official HD Video),"44,818,518","9,528",2010/07
Chris Brown - Wrist (Official Video) ft. Solo Lucci,"44,349,111","4,200",2015/12
"Chris Brown, Young Thug - City Girls (Official Video)","44,090,266","5,328",2020/12
"August Alsina ft. Chris Brown & Trey Songz- ""I Luv This Shit"" [REMIX]","43,421,836","8,736",2013/10
"Deorro, Chris Brown - Five More Hours","43,050,952","5,832",2015/03
"Chris Brown - Till I Die ft. Big Sean, Wiz Khalifa","42,498,812","1,032",2012/06
Chris Brown - Back To Love (Official Video),"41,015,089","3,216",2019/04
T.I. - Get Back Up ft. Chris Brown [Official Video],"40,624,047","4,200",2010/11
Chris Brown - Psychic (Official Video) ft. Jack Harlow,"39,394,656","14,904",2023/02
Chris Brown - Summer Too Hot (Official Video),"39,040,865","14,496",2023/08
"Chris Brown, Tyga - Bitches N Marijuana (Official Video) ft. ScHoolboy Q","36,876,768","4,320",2015/06
"Chris Brown, Tyga - Bitches N Marijuana (Audio) ft. ScHoolboy Q","36,441,244","2,856",2015/02
Chris Brown - Overtime (Audio),"36,208,861","10,584",2019/10
Chris Brown - To My Bed (Audio),"35,235,092",672,2017/10
"Chris Brown, Young Thug - City Girls (Audio)","35,209,407","5,112",2020/05
Chris Brown - Fine China (Audio),"35,203,855","5,064",2013/04
Game - Pot Of Gold ft. Chris Brown,"34,826,674","1,512",2011/07
"Chris Brown - Go Crazy (Remix) (Official Video) ft. Young Thug, Future, Lil Durk, Latto","34,695,474","5,544",2021/04
Chris Brown - Hmmm (Official Video) feat. Davido,"34,470,120","10,560",2024/06
Chris Brown - Feel Something (Official Video),"34,240,542","25,776",2024/05
Chris Brown - Back To Sleep (Audio),"33,323,796","4,680",2015/11
Kid Ink - Show Me (Audio) ft. Chris Brown,"32,648,786","10,416",2013/09
"Jeremih - I Think Of You ft. Chris Brown, Big Sean","32,602,677","1,008",2017/04
Chris Brown - WE (Warm Embrace) (Official Video),"32,266,920","7,248",2022/06
Chris Brown - Come Together (Audio) ft. H.E.R.,"30,416,354","7,584",2019/06
Chris Brown - Don't Judge Me (Audio),"30,219,488","2,376",2012/08
"Deorro, Chris Brown - Five More Hours (Official Video) (Online Version)","29,097,237",336,2015/05
Chris Brown - Love More (Audio) ft. Nicki Minaj,"28,650,109","1,272",2013/07
Chris Brown - Iffy (Official Video),"28,022,740","2,856",2022/01
Chris Brown - X (Audio),"27,149,955","1,440",2014/08
"Chris Brown - Wobble Up (Audio) ft. Nicki Minaj, G-Eazy","26,767,181",216,2019/04
Chris Brown - Hope You Do (Audio),"25,517,226","3,504",2017/10
Chris Brown - Beautiful People (Official HD Video) ft. Benny Benassi,"24,973,488",456,2011/03
Chris Brown - Crawl (Official HD Video),"24,430,684","4,872",2009/11
"Chris Brown - Don't Check On Me (Audio) ft. Justin Bieber, Ink","23,525,589","2,184",2019/06
"Chris Brown, Tyga - Bes N Marijuana (Official Video - Clean) ft. ScHoolboy Q","23,335,121","1,608",2015/06
Chris Brown - C.A.B. (Catch A Body) (Official Video) ft. Fivio Foreign,"23,227,349","4,344",2022/06
Chris Brown - Call Me Every Day (Audio) ft. Wizkid,"22,389,995","3,192",2022/06
Chris Brown - Delusional (Visualizer),"22,327,000","20,088",2024/04
Chris Brown - Crawl,"21,238,511",192,2009/11
Rick Ross - Sorry (Audio) (Explicit) ft. Chris Brown,"20,341,134","3,792",2015/10
Chris Brown - Little More (Royalty) [Audio],"20,182,725","3,432",2015/12
"Chris Brown - Juicy Booty (Audio) ft. Jhené Aiko, R.Kelly","20,159,761","1,056",2017/10
Chris Brown - Press Me,"19,437,959","11,688",2024/05
Chris Brown - Zero (Audio),"19,254,941",936,2015/09
"Chris Brown - New Flame (Edited Version) ft. Usher, Rick Ross","18,589,385","4,896",2014/06
Chris Brown - Take You Down (Official Audio),"18,411,086","6,168",2019/11
Chris Brown - It Depends (Official Lyric Video) ft. Bryson Tiller,"18,401,866","20,544",2025/07
Chris Brown - Songs On 12 Play (Audio) ft. Trey Songz,"18,061,287","1,200",2014/09
"Kid Ink - Show Me REMIX (Audio) ft. Trey Songz, Juicy J, 2 Chainz, Chris Brown","17,418,947",912,2014/02
Chris Brown - Wheels Fall Off | From The Block @4ShootersOnly Performance,"17,282,836","5,760",2022/06
Chris Brown - Stutter (Visualizer),"16,986,744","12,288",2023/11
"Chris Brown - Look At Me Now (Clean Version) ft. Lil Wayne, Busta Rhymes","16,623,417","7,464",2011/03
Chris Brown - Don't Think They Know (Official Audio) ft. Aaliyah,"16,608,176","3,528",2013/06
"G-Eazy - Drifting (Audio) ft. Chris Brown, Tory Lanez","16,540,493",552,2015/11
