Song Title,Artist,Debut Date,Peak Position,Peak Date,Weeks on Chart
Addicted,Chris Brown Featuring Lil Baby,09/07/2022,92,09/07/2022,1
Ready,Fabolous Featuring Chris Brown,27/04/2013,93,18/05/2013,8
Summer Too Hot,Chris Brown,02/09/2023,93,02/09/2023,4
Something New,Zendaya Featuring Chris Brown,26/03/2016,93,02/04/2016,3
You Changed Me,Jamie Foxx Featuring Chris Brown,13/06/2015,93,13/06/2015,2
Hotel,Kid Ink Featuring Chris Brown,21/02/2015,96,21/02/2015,1
Sorry,Rick Ross Featuring Chris Brown,26/12/2015,97,26/12/2015,1
IDGAF,"Tee Grizzley, Mariah The Scientist & Chris Brown",20/01/2024,98,03/02/2024,2
Possessive,Chris Brown Featuring Lil Wayne & BLEU,09/07/2022,98,09/07/2022,1
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,26/12/2015,98,26/12/2015,1
X,Chris Brown,04/10/2014,98,04/10/2014,1
